长篇,chang2 pian1,lengthy (report or speech)
连续,lian2 xu4,continuous
广播,guang3 bo1,broadcast
铁路,tie3 lu4,railroad
辞退,ci2 tui4,to dismiss
挣钱,zheng4 qian2,to make money
压抑,ya1 yi4,to constrain or repress emotions
潮湿,chao2 shi1,damp
忙碌,mang2 lu4,busy
阴暗,yin1 an4,dim
酷暑,ku4 shu3,intense heat
炎夏,yan2 xia4,hot summer
噪声,zao4 sheng1,noise
瘦弱,shou4 ruo4,thin and weak
脊背,ji3 bei4,back (of a human or other vertebrate)
口罩,kou3 zhao4,mask (surgical etc)
忍心,ren3 xin1,to have the heart to do sth
机械,ji1 xie4,machine
数落,shu3 luo5,to enumerate sb's shortcomings
权利,quan2 li4,right (i.e. an entitlement to sth)
